frame,time,x,y,mask_area
412,13.733333333333333,901,768,1233
413,13.766666666666667,921,771,1227
414,13.8,937,770,1010
415,13.833333333333334,947,772,955
416,13.866666666666667,950,774,898
417,13.9,950,774,889
418,13.933333333333334,950,774,911
419,13.966666666666667,949,773,965
420,14.0,951,772,967
421,14.033333333333333,959,768,1104
422,14.066666666666666,977,768,1396
423,14.1,976,769,1427
424,14.133333333333333,1006,761,1241
425,14.166666666666666,1039,761,1410
426,14.2,1069,756,954
427,14.233333333333333,1108,767,357
428,14.266666666666667,1136,764,371
429,14.3,1136,763,344
430,14.333333333333334,1149,766,678
431,14.366666666666667,1146,781,1478
432,14.4,1143,800,1758
433,14.433333333333334,1143,805,1710
434,14.466666666666667,1144,805,1648
435,14.5,1144,805,1637
436,14.533333333333333,1144,806,1588
437,14.566666666666666,1144,804,1601
438,14.6,1156,805,1013
439,14.633333333333333,1160,797,793
440,14.666666666666666,1196,750,1901
441,14.7,1168,748,966
442,14.733333333333333,1190,727,1115
443,14.766666666666667,1220,733,1901
444,14.8,1250,706,1252
445,14.833333333333334,1275,708,1448
446,14.866666666666667,1301,710,1392
447,14.9,1301,710,1410
448,14.933333333333334,1329,706,1205
449,14.966666666666667,1356,683,871
450,15.0,1367,676,792
451,15.033333333333333,1365,696,977
452,15.066666666666666,1367,701,639
453,15.1,1366,701,642
454,15.133333333333333,1366,702,683
455,15.166666666666666,1366,702,682
456,15.2,1366,701,676
457,15.233333333333333,1366,701,699
458,15.266666666666667,1366,700,718
459,15.3,1366,700,683
460,15.333333333333334,1366,700,770
461,15.366666666666667,1366,700,754
462,15.4,1366,700,745
463,15.433333333333334,1366,700,735
464,15.466666666666667,1366,700,655
465,15.5,1366,700,635
466,15.533333333333333,1366,700,668
467,15.566666666666666,1366,700,684
468,15.6,1363,697,684
469,15.633333333333333,1358,693,651
470,15.666666666666666,1353,698,672
471,15.7,1353,698,685
472,15.733333333333333,1347,701,707
473,15.766666666666667,1340,707,654
474,15.8,1332,710,644
475,15.833333333333334,1324,712,546
476,15.866666666666667,1315,710,503
477,15.9,1315,709,555
478,15.933333333333334,1307,711,584
479,15.966666666666667,1298,715,735
480,16.0,1288,717,779
481,16.033333333333335,1277,720,1003
482,16.066666666666666,1264,721,1067
483,16.1,1264,721,1059
484,16.133333333333333,1249,720,915
485,16.166666666666668,1232,726,1177
486,16.2,1217,732,1197
487,16.233333333333334,1205,742,1027
488,16.266666666666666,1193,746,1179
489,16.3,1193,746,1174
490,16.333333333333332,1183,750,1273
491,16.366666666666667,1180,754,1173
492,16.4,1178,756,1190
493,16.433333333333334,1177,756,1247
494,16.466666666666665,1177,756,1293
495,16.5,1177,755,1310
496,16.533333333333335,1177,755,1344
497,16.566666666666666,1177,754,1392
498,16.6,1177,755,1359
499,16.633333333333333,1177,754,1394
500,16.666666666666668,1177,755,1345
501,16.7,1176,754,1402
502,16.733333333333334,1176,754,1414
503,16.766666666666666,1176,754,1448
504,16.8,1176,754,1455
505,16.833333333333332,1176,754,1400
506,16.866666666666667,1175,753,1357
507,16.9,1175,753,1369
508,16.933333333333334,1173,751,1114
509,16.966666666666665,1171,751,881
510,17.0,1168,748,828
511,17.033333333333335,1168,743,624
512,17.066666666666666,1167,741,566
513,17.1,1168,742,700
514,17.133333333333333,1170,741,687
515,17.166666666666668,1172,740,556
516,17.2,1172,743,704
517,17.233333333333334,1169,741,434
518,17.266666666666666,1164,765,1240
519,17.3,1164,766,1268
520,17.333333333333332,1158,775,1265
521,17.366666666666667,1152,781,1007
522,17.4,1141,791,829
523,17.433333333333334,1124,798,379
524,17.466666666666665,1122,799,594
525,17.5,1122,799,601
526,17.533333333333335,1121,804,659
527,17.566666666666666,1121,812,615
528,17.6,1123,818,695
529,17.633333333333333,1122,820,659
