frame,time,x,y,mask_area
236,7.866666666666666,222,896,193
237,7.9,221,896,197
238,7.933333333333334,239,910,194
239,7.966666666666667,252,931,111
240,8.0,363,959,438
241,8.033333333333333,360,953,359
242,8.066666666666666,355,953,559
243,8.1,355,954,597
244,8.133333333333333,354,947,403
245,8.166666666666666,357,945,354
246,8.2,351,943,172
254,8.466666666666667,622,524,137
255,8.5,622,524,125
256,8.533333333333333,615,541,151
257,8.566666666666666,607,559,131
260,8.666666666666666,579,646,182
261,8.7,579,646,190
262,8.733333333333333,569,683,289
263,8.766666666666667,559,726,328
264,8.8,548,774,304
