frame,time_sec,x,y,confidence,estimated,velocity_x,velocity_y,speed,court_region,court_side
259,8.633333333333333,1161,708,0.5355799794197083,False,23.818261886327015,0.4992872703724789,23.823494434360676,Middle,Right
260,8.666666666666666,1165,699,0.5346060991287231,False,11.375527667226526,-5.300553725130752,12.54984061655102,Middle,Right
261,8.7,1165,699,0.5361613631248474,False,4.3573994619994485,-4.096545547806102,5.980686874990454,Middle,Right
262,8.733333333333333,1169,693,0.5417079925537109,False,2.956242714736386,-4.685461873206964,5.540119489118268,Middle,Right
308,10.266666666666667,855,543,0.35289904475212097,False,-131.07504280545166,-66.12509430475662,146.81006417566863,Middle,Left
309,10.3,855,543,0.3518104553222656,False,-99.62872308067841,-49.16054399968709,111.09744168535867,Middle,Left
310,10.333333333333334,820,465,0.605864405632019,False,-66.74779928317015,-58.310876487790054,88.63084692092633,Middle,Left
312,10.4,772,354,0.46866878867149353,False,-52.97682790851417,-82.18019487185015,97.77591075732094,Front,Left
331,11.033333333333333,380,454,0.2669723331928253,False,-193.61920779237374,-9.537538307436975,193.85397149171905,Middle,Left
350,11.666666666666666,534,428,0.5327551364898682,False,-71.95118863014746,-3.544504514874509,72.03844152636165,Middle,Left
351,11.7,534,428,0.5335052609443665,False,-19.906261370621074,-0.9807509352277397,19.93040677338099,Middle,Left
352,11.733333333333333,525,441,0.545634925365448,False,-6.030929506361863,5.377020433003862,8.079879915422454,Middle,Left
353,11.766666666666667,515,458,0.5381662845611572,False,-5.234264331136412,11.415535784473237,12.558343056900297,Middle,Left
354,11.8,506,477,0.514074444770813,False,-6.68178647390541,15.692588116468215,17.055896114716013,Middle,Left
355,11.833333333333334,495,501,0.552428662776947,False,-8.762309838350934,19.96097301007143,21.799507269937585,Middle,Left
356,11.866666666666667,485,527,0.478484570980072,False,-9.65536982135586,23.270368336814002,25.193971678124615,Middle,Left
357,11.9,485,527,0.4798814356327057,False,-5.739109603249567,14.03793512708823,15.16578391216389,Middle,Left
358,11.933333333333334,474,558,0.6196786165237427,False,-7.261943257058988,19.552533774357443,20.857550116591664,Middle,Left
360,12.0,450,636,0.5702278017997742,False,-14.598081371470965,45.20462848024135,47.50328847316504,Middle,Left
361,12.033333333333333,438,687,0.5771300792694092,False,-14.808436161888386,52.220765706863915,54.27981349057767,Middle,Left
365,12.166666666666666,456,691,0.42958617210388184,False,-0.998046821794647,33.11757725022649,33.1326126404667,Middle,Left
366,12.2,477,654,0.5079014897346497,False,10.747312856108802,0.11887759374879181,10.747970297194584,Middle,Left
372,12.4,359,816,0.3315775990486145,False,-41.502189196130544,62.56722009828033,75.0805483390876,Back,Left
373,12.433333333333334,362,813,0.5279012322425842,False,-32.02703276022407,46.017844016930354,56.06578988466138,Back,Left
374,12.466666666666667,364,808,0.5399814248085022,False,-15.976786632180652,21.535777208132394,26.815059407887595,Back,Left
375,12.5,364,808,0.5399110913276672,False,-6.373856629326548,8.084335802053532,10.2947818671196,Back,Left
376,12.533333333333333,365,803,0.3042919635772705,False,-1.5506848074263786,0.16524488605812948,1.5594644094532422,Back,Left
379,12.633333333333333,364,802,0.3576708137989044,False,-0.45898506173548426,-1.737398967455479,1.797003744851883,Back,Left
